census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06071000105,0.31289111389236546,2,06071, San Bernardino County,CA,105,1.05,6392,15.5%,39.4,25.2%,5.4%
06071009400,0.30656039239730226,1,06071, San Bernardino County,CA,9400,94,3262,12.7%,29.4,44.5%,24.8%
06071005600,0.2973093503790694,2,06071, San Bernardino County,CA,5600,56,6727,7.7%,28.1,69.4%,15.0%
06071003505,0.26763013515321826,2,06071, San Bernardino County,CA,3505,35.05,7473,4.4%,25.2,77.7%,11.7%
06071003700,0.26441036488630354,1,06071, San Bernardino County,CA,3700,37,3782,15.9%,35.3,80.5%,10.3%
06071002602,0.26434047052603754,2,06071, San Bernardino County,CA,2602,26.02,7566,7.4%,29.8,78.7%,7.5%
06071003603,0.25393600812595224,1,06071, San Bernardino County,CA,3603,36.03,3938,12.1%,32.5,74.8%,9.0%
06071005800,0.24919013207077,1,06071, San Bernardino County,CA,5800,58,4013,11.7%,28,65.5%,16.9%
06071000115,0.2442897276169537,2,06071, San Bernardino County,CA,115,1.15,8187,9.5%,33.5,35.9%,1.2%
06071003200,0.24324981756263683,2,06071, San Bernardino County,CA,3200,32,8222,11.1%,30,76.1%,4.4%
06071001503,0.2423654871546292,1,06071, San Bernardino County,CA,1503,15.03,4126,6.4%,26,88.4%,1.7%
06071000825,0.2421893921046258,1,06071, San Bernardino County,CA,825,8.25,4129,8.0%,29.8,64.5%,11.8%
06071006500,0.2376425855513308,2,06071, San Bernardino County,CA,6500,65,8416,6.4%,27.1,70.1%,11.0%
06071001501,0.2370791844476055,1,06071, San Bernardino County,CA,1501,15.01,4218,8.4%,32.1,91.0%,0.0%
06071004301,0.22476961114857272,1,06071, San Bernardino County,CA,4301,43.01,4449,12.8%,33.1,71.2%,19.3%
06071001309,0.21468441391155002,1,06071, San Bernardino County,CA,1309,13.09,4658,15.1%,34.4,74.7%,8.5%
06071003612,0.21385799828913601,1,06071, San Bernardino County,CA,3612,36.12,4676,9.1%,30.2,69.8%,11.5%
06071002901,0.21317416329140906,1,06071, San Bernardino County,CA,2901,29.01,4691,8.1%,28.8,86.3%,2.5%
06071008705,0.20855057351407716,1,06071, San Bernardino County,CA,8705,87.05,4795,16.0%,36.6,36.0%,0.0%
06071003611,0.2051702913418137,1,06071, San Bernardino County,CA,3611,36.11,4874,10.0%,30.8,68.2%,8.6%
06071007305,0.20370747606437156,1,06071, San Bernardino County,CA,7305,73.05,4909,18.0%,36.4,44.4%,5.6%
06071006203,0.2002002002002002,1,06071, San Bernardino County,CA,6203,62.03,4995,10.6%,26,64.5%,21.9%
06071004403,0.19786307874950534,1,06071, San Bernardino County,CA,4403,44.03,5054,12.6%,32.8,84.8%,6.4%
06071003404,0.19361084220716362,1,06071, San Bernardino County,CA,3404,34.04,5165,7.9%,28.3,80.7%,9.3%
06071004700,0.18436578171091444,1,06071, San Bernardino County,CA,4700,47,5424,13.1%,29.8,88.6%,5.3%
06071004507,0.18188432157148055,1,06071, San Bernardino County,CA,4507,45.07,5498,8.3%,27.4,66.6%,11.9%
06071002107,0.17930787161556394,1,06071, San Bernardino County,CA,2107,21.07,5577,11.2%,32.4,49.9%,11.9%
06071010421,0.16658337497917708,1,06071, San Bernardino County,CA,10421,104.21,6003,7.8%,23.4,32.5%,18.6%
06071004101,0.1561524047470331,1,06071, San Bernardino County,CA,4101,41.01,6404,6.9%,28.5,86.8%,4.4%
06071007409,0.1432870038687491,1,06071, San Bernardino County,CA,7409,74.09,6979,11.1%,30.3,66.6%,10.2%
06071000303,0.12759984688018372,1,06071, San Bernardino County,CA,303,3.03,7837,13.6%,29,86.3%,0.3%
06071002402,0.11956001912960307,1,06071, San Bernardino County,CA,2402,24.02,8364,7.3%,29.2,87.3%,1.4%
