census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06073018516,1.538856116953065,6,06073, San Diego County,CA,18516,185.16,3899,18.7%,35.3,38.0%,1.9%
06073008327,1.5303519809556199,9,06073, San Diego County,CA,8327,83.27,5881,19.1%,41.6,6.8%,0.7%
06073021600,1.5234613040828764,5,06073, San Diego County,CA,21600,216,3282,15.2%,26,18.9%,5.2%
06073008330,1.5177385695313983,8,06073, San Diego County,CA,8330,83.3,5271,16.4%,41.3,5.9%,0.2%
06073020706,1.5158405335758678,10,06073, San Diego County,CA,20706,207.06,6597,23.0%,44.1,18.8%,1.8%
06073013604,1.5069318866787222,10,06073, San Diego County,CA,13604,136.04,6636,18.1%,37.5,20.2%,5.0%
06073020023,1.5034364261168385,7,06073, San Diego County,CA,20023,200.23,4656,16.6%,39.4,36.0%,2.4%
06073012003,1.498800959232614,5,06073, San Diego County,CA,12003,120.03,3336,16.5%,38.1,62.3%,1.3%
06073014700,1.4985014985014986,12,06073, San Diego County,CA,14700,147,8008,15.6%,37,24.3%,4.6%
06073020017,1.4961101137043686,5,06073, San Diego County,CA,20017,200.17,3342,16.5%,32.7,46.7%,4.1%
06073013412,1.4922191430398635,7,06073, San Diego County,CA,13412,134.12,4691,25.0%,42.4,49.7%,4.0%
06073021205,1.4677821811243212,10,06073, San Diego County,CA,21205,212.05,6813,18.1%,36.6,16.0%,2.7%
06073003403,1.4655593551538837,6,06073, San Diego County,CA,3403,34.03,4094,14.7%,33.5,74.7%,9.0%
06073013307,1.4644351464435148,7,06073, San Diego County,CA,13307,133.07,4780,17.4%,37.5,79.9%,0.7%
06073001400,1.446759259259259,5,06073, San Diego County,CA,1400,14,3456,11.7%,35.8,20.1%,1.5%
06073009603,1.443001443001443,8,06073, San Diego County,CA,9603,96.03,5544,13.1%,33.1,27.0%,12.8%
06073018519,1.44248106743599,8,06073, San Diego County,CA,18519,185.19,5546,14.0%,30.9,63.8%,4.9%
06073008351,1.4201183431952662,6,06073, San Diego County,CA,8351,83.51,4225,16.2%,36.9,8.2%,4.9%
06073011902,1.4101886127269523,8,06073, San Diego County,CA,11902,119.02,5673,29.2%,48.1,60.1%,3.5%
06073018610,1.4100756313293168,11,06073, San Diego County,CA,18610,186.1,7801,14.8%,31.9,58.4%,7.0%
06073003211,1.4064697609001406,5,06073, San Diego County,CA,3211,32.11,3555,17.7%,33.7,59.7%,3.7%
06073016605,1.40485312899106,11,06073, San Diego County,CA,16605,166.05,7830,24.4%,43.8,15.9%,1.6%
06073020020,1.3954078396549536,11,06073, San Diego County,CA,20020,200.2,7883,12.7%,37.1,27.6%,3.6%
06073009201,1.392515230635335,8,06073, San Diego County,CA,9201,92.01,5745,9.0%,29.3,20.8%,17.2%
06073002502,1.389103256675413,9,06073, San Diego County,CA,2502,25.02,6479,13.4%,33.3,48.8%,10.8%
06073003112,1.3464991023339319,6,06073, San Diego County,CA,3112,31.12,4456,19.6%,40,42.7%,21.7%
