activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2021,549300S5YL3OH0IVCS62,31084,CA,06037,06037463400,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,3,0,2,1,31,1,1,1,2,1595000.0,,,,3,,,,,,,,4,2,2,2,2,3505000,1,1,3,5,1,,14.0,,9,10,1,14.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,>74,9999,Yes,,2,1,6,,,,,9,,,,5699,59.5,80000,147,1028,1560,48
2021,549300S5YL3OH0IVCS62,31084,CA,06037,06037700700,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Female,4,0,2,1,31,1,1,2,2,1635000.0,,,,3,,,,,,,,,2,2,2,2,,1,1,3,5,1,,407.0,,9,9,14,,,,,5.0,,,,,2,4,27.0,,,,,8.0,,,,,2,4,2,5,2,4,55-64,9999,Yes,,2,1,6,,,,,10,,,,3578,16.52,80000,399,935,1234,73
2021,549300TINI6CL78UD591,31084,CA,06037,06037540501,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,3,0,2,2,31,1,1,1,2,165000.0,,,,3,,,,,,,,,2,2,2,2,405000,1,1,3,5,1,,19.0,,9,9,1,,,,,1.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,>74,65-74,Yes,Yes,2,2,6,,,,,5,,,,7395,93.74,80000,74,641,967,58
2021,549300TINI6CL78UD591,31084,CA,06037,06037201402,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Male,1,2,2,2,31,1,1,1,2,165000.0,,2.56,,3,,,,,,,,,2,2,2,2,935000,1,1,3,5,1,,23.0,,9,9,1,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,1,5,2,4,>74,9999,Yes,,2,1,6,,,,,10,,,,4693,92.05,80000,88,968,1260,66
2021,549300TINI6CL78UD591,31084,CA,06037,06037500700,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,2,2,2,31,1,1,1,2,165000.0,,2.42,,3,,,,,,,,,2,2,2,2,575000,1,1,3,5,1,,12.0,,9,9,1,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,6473,95.1,80000,105,1212,1603,59
2021,2549001SI0EMFPT39035,31084,CA,06037,06037535501,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,6,2,1,31,1,1,1,2,165000.0,,,,2,,,,,,,,,1,1,1,1,,1,1,3,5,1,,7087.0,,9,9,1,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,8888,8888,,,1,1,6,,,,,10,,,,4036,98.98,80000,57,197,794,63
2021,5493008E4KBJCB6UKR64,31084,CA,06037,06037900804,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,0,2,1,31,1,1,2,2,165000.0,44.485,3.125,,3,,,,,,,,,2,2,2,2,375000,1,1,3,5,1,,21.0,41,7,10,1,,,,,5.0,,,,,3,4,5.0,,,,,8.0,,,,,3,4,1,5,3,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,3196,85.26,80000,66,519,1057,37
2021,549300RBX56T2MW5HO19,31084,CA,06037,06037502302,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,2,0,2,2,31,1,1,2,2,165000.0,28.71,2.38,,3,,,,,,,,,2,2,2,2,565000,1,1,3,5,1,,,,9,9,1,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,3307,95.59,80000,68,249,376,57
2021,549300S5YL3OH0IVCS62,31084,CA,06037,06037552602,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,4,0,2,2,31,1,1,1,2,165000.0,,,,3,,,,,,,,1,2,2,2,2,,1,1,3,5,1,,15.0,,9,9,1,11.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,65-74,9999,Yes,,2,2,6,,,,,10,,,,4690,89.62,80000,99,665,920,52
2021,PAOOWF3GUFM46FBSP561,31084,CA,06037,06037920012,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,American Indian or Alaska Native,Female,1,8,2,2,31,1,1,1,2,165000.0,,2.09,,3,,,,,,,,12,2,2,2,2,295000,1,1,3,5,1,,20.0,,9,9,1,11.0,,,,5.0,,,,,2,4,1.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,1004,20.52,80000,135,338,538,56
