geo_id,census_tract,tract_name,population,hispanic_pp,black_pp,hispanic_pp_pct,black_pp_pct
1400000US06037108101,06037108101,"Census Tract 1081.01, Los Angeles County, California",2303,438,34,19.018671298306554,1.4763352149370386
1400000US06037108102,06037108102,"Census Tract 1081.02, Los Angeles County, California",3327,218,106,6.552449654343253,3.186053501653141
1400000US06037108103,06037108103,"Census Tract 1081.03, Los Angeles County, California",3082,442,0,14.341336794289422,0.0
1400000US06037108104,06037108104,"Census Tract 1081.04, Los Angeles County, California",1818,151,35,8.305830583058306,1.9251925192519255
1400000US06037108202,06037108202,"Census Tract 1082.02, Los Angeles County, California",8148,689,1722,8.456062837506137,21.1340206185567
1400000US06037108203,06037108203,"Census Tract 1082.03, Los Angeles County, California",3273,216,440,6.5994500458295136,13.443324167430493
1400000US06037108204,06037108204,"Census Tract 1082.04, Los Angeles County, California",1893,9,67,0.4754358161648178,3.5393555203380873
1400000US06037109100,06037109100,"Census Tract 1091, Los Angeles County, California",2647,1421,59,53.68341518700416,2.2289384208537966
1400000US06037109200,06037109200,"Census Tract 1092, Los Angeles County, California",2746,1153,112,41.98834668608885,4.0786598689002185
1400000US06037109300,06037109300,"Census Tract 1093, Los Angeles County, California",2908,1321,19,45.426409903713896,0.6533700137551582
1400000US06037109400,06037109400,"Census Tract 1094, Los Angeles County, California",4044,3254,19,80.46488625123641,0.46983184965380814
1400000US06037109500,06037109500,"Census Tract 1095, Los Angeles County, California",4720,4434,4,93.94067796610169,0.0847457627118644
1400000US06037109601,06037109601,"Census Tract 1096.01, Los Angeles County, California",4877,3250,38,66.6393274554029,0.7791675210170187
1400000US06037109603,06037109603,"Census Tract 1096.03, Los Angeles County, California",4233,3015,94,71.22608079376329,2.2206472950626033
1400000US06037109604,06037109604,"Census Tract 1096.04, Los Angeles County, California",3013,2064,61,68.50315300365085,2.0245602389644874
1400000US06037109700,06037109700,"Census Tract 1097, Los Angeles County, California",4787,1824,356,38.10319615625653,7.436808021725507
1400000US06037109800,06037109800,"Census Tract 1098, Los Angeles County, California",5221,2655,65,50.85232714039456,1.2449722275426165
1400000US06037111100,06037111100,"Census Tract 1111, Los Angeles County, California",3156,1323,85,41.92015209125476,2.6932826362484157
1400000US06037111201,06037111201,"Census Tract 1112.01, Los Angeles County, California",3459,1450,10,41.91962995085285,0.28910089621277824
1400000US06037111202,06037111202,"Census Tract 1112.02, Los Angeles County, California",5593,1829,100,32.7015912748078,1.7879492222420885
1400000US06037111204,06037111204,"Census Tract 1112.04, Los Angeles County, California",5909,1128,180,19.089524454222374,3.046200710780166
1400000US06037111205,06037111205,"Census Tract 1112.05, Los Angeles County, California",3905,779,163,19.94878361075544,4.174135723431498
1400000US06037111206,06037111206,"Census Tract 1112.06, Los Angeles County, California",4363,1142,32,26.17465046986019,0.7334402933761174
1400000US06037111302,06037111302,"Census Tract 1113.02, Los Angeles County, California",5253,1326,442,25.24271844660194,8.414239482200648
1400000US06037111303,06037111303,"Census Tract 1113.03, Los Angeles County, California",4835,1319,66,27.280248190279217,1.3650465356773527
1400000US06037111304,06037111304,"Census Tract 1113.04, Los Angeles County, California",2752,1230,277,44.69476744186046,10.065406976744185
1400000US06037111401,06037111401,"Census Tract 1114.01, Los Angeles County, California",2353,697,0,29.621759456013603,0.0
1400000US06037111402,06037111402,"Census Tract 1114.02, Los Angeles County, California",6535,2997,391,45.86074980872226,5.983167559296098
1400000US06037113101,06037113101,"Census Tract 1131.01, Los Angeles County, California",3590,653,147,18.18941504178273,4.094707520891365
1400000US06037113102,06037113102,"Census Tract 1131.02, Los Angeles County, California",2783,507,48,18.21775062881782,1.7247574559827523
