census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06067006900,1.0292301358583777,5,06067, Sacramento County,CA,6900,69,4858,18.8%,38.7,34.5%,15.5%
06067007204,1.016880211511084,5,06067, Sacramento County,CA,7204,72.04,4917,11.0%,32.1,27.8%,13.6%
06067005601,1.0051934997487015,6,06067, Sacramento County,CA,5601,56.01,5969,23.7%,37,6.8%,16.2%
06067004009,1.0018032458425166,5,06067, Sacramento County,CA,4009,40.09,4991,20.3%,39.4,23.7%,8.9%
06067009403,0.9950248756218905,2,06067, Sacramento County,CA,9403,94.03,2010,22.6%,46.3,35.7%,0.0%
06067009408,0.9915716410510659,2,06067, Sacramento County,CA,9408,94.08,2017,17.3%,35.8,31.2%,1.4%
06067009616,0.9836065573770492,6,06067, Sacramento County,CA,9616,96.16,6100,19.3%,35.4,21.7%,7.5%
06067007433,0.9809932556713672,8,06067, Sacramento County,CA,7433,74.33,8155,11.3%,32.4,13.8%,8.6%
06067003202,0.9807767752059631,5,06067, Sacramento County,CA,3202,32.02,5098,17.1%,37.5,35.4%,6.4%
06067008504,0.9733307377846993,5,06067, Sacramento County,CA,8504,85.04,5137,13.3%,38.1,14.4%,3.1%
06067004802,0.9658103148541626,5,06067, Sacramento County,CA,4802,48.02,5177,15.7%,36.8,35.9%,13.6%
06067007504,0.9610764055742432,2,06067, Sacramento County,CA,7504,75.04,2081,22.9%,35.1,21.3%,4.5%
06067009503,0.9606147934678194,3,06067, Sacramento County,CA,9503,95.03,3123,24.8%,44.1,48.2%,0.1%
06067009106,0.9573958831977023,4,06067, Sacramento County,CA,9106,91.06,4178,16.6%,37.2,25.8%,7.1%
06067009008,0.9565716472163766,5,06067, Sacramento County,CA,9008,90.08,5227,11.9%,30.7,36.7%,12.8%
06067002100,0.9541984732824427,2,06067, Sacramento County,CA,2100,21,2096,10.0%,35,19.2%,6.9%
06067009618,0.9480470231323473,5,06067, Sacramento County,CA,9618,96.18,5274,15.4%,35.8,23.2%,21.4%
06067009608,0.9454774661203907,9,06067, Sacramento County,CA,9608,96.08,9519,9.0%,31.2,15.7%,15.5%
06067003000,0.9395973154362416,7,06067, Sacramento County,CA,3000,30,7450,21.2%,37.1,33.5%,14.0%
06067009612,0.9326618168252192,5,06067, Sacramento County,CA,9612,96.12,5361,14.7%,34.9,25.6%,16.0%
06067008508,0.9193590753874441,7,06067, Sacramento County,CA,8508,85.08,7614,11.7%,39.8,8.7%,0.6%
06067004701,0.9041591320072332,3,06067, Sacramento County,CA,4701,47.01,3318,12.8%,28.6,34.7%,11.6%
06067007702,0.8966599417171037,4,06067, Sacramento County,CA,7702,77.02,4461,29.9%,49.5,14.1%,3.2%
06067007430,0.8952551477170994,8,06067, Sacramento County,CA,7430,74.3,8936,7.9%,29.7,16.2%,11.3%
06067005204,0.8936550491510277,4,06067, Sacramento County,CA,5204,52.04,4476,24.6%,40.4,16.2%,7.6%
06067000600,0.8904719501335707,1,06067, Sacramento County,CA,600,6,1123,18.1%,34.4,27.2%,9.6%
06067008505,0.889679715302491,2,06067, Sacramento County,CA,8505,85.05,2248,18.2%,43.5,5.4%,0.3%
06067008512,0.8787346221441125,4,06067, Sacramento County,CA,8512,85.12,4552,8.9%,39.3,4.7%,2.7%
06067007007,0.8686587908269632,5,06067, Sacramento County,CA,7007,70.07,5756,14.7%,30.7,57.1%,13.6%
06067009011,0.8676789587852494,4,06067, Sacramento County,CA,9011,90.11,4610,15.1%,39.4,13.6%,7.1%
06067005502,0.8652015919709292,5,06067, Sacramento County,CA,5502,55.02,5779,10.0%,31.8,48.4%,10.8%
06067004904,0.8585164835164835,5,06067, Sacramento County,CA,4904,49.04,5824,17.0%,35,38.5%,14.4%
06067009328,0.8545547769612033,5,06067, Sacramento County,CA,9328,93.28,5851,12.4%,34.9,22.6%,6.7%
06067007903,0.8456659619450316,4,06067, Sacramento County,CA,7903,79.03,4730,25.4%,42.5,8.7%,4.0%
06067009314,0.8413259296651522,5,06067, Sacramento County,CA,9314,93.14,5943,16.6%,38.3,16.7%,13.1%
06067009404,0.8399126490844951,5,06067, Sacramento County,CA,9404,94.04,5953,24.9%,47.7,24.6%,0.9%
06067007414,0.8357709987463435,4,06067, Sacramento County,CA,7414,74.14,4786,11.4%,30.6,28.3%,8.6%
06067005505,0.8337502084375521,5,06067, Sacramento County,CA,5505,55.05,5997,14.3%,32.2,28.4%,13.0%
06067007209,0.8291873963515755,3,06067, Sacramento County,CA,7209,72.09,3618,18.5%,40.1,23.5%,4.4%
06067008513,0.8287292817679558,3,06067, Sacramento County,CA,8513,85.13,3620,10.9%,38.6,3.9%,0.3%
06067006101,0.8186655751125665,4,06067, Sacramento County,CA,6101,61.01,4886,20.5%,38.5,23.1%,9.3%
06067007014,0.8178844056706652,6,06067, Sacramento County,CA,7014,70.14,7336,14.4%,33.2,41.9%,17.0%
06067008909,0.8107012565869477,2,06067, Sacramento County,CA,8909,89.09,2467,20.9%,35.5,19.7%,7.5%
06067003204,0.8056394763343404,4,06067, Sacramento County,CA,3204,32.04,4965,12.6%,35,36.5%,7.5%
06067009326,0.7934933544931562,4,06067, Sacramento County,CA,9326,93.26,5041,16.7%,38.2,16.2%,8.8%
06067002800,0.7865757734661772,3,06067, Sacramento County,CA,2800,28,3814,11.8%,33.2,40.4%,21.0%
06067006300,0.7750435962022864,4,06067, Sacramento County,CA,6300,63,5161,13.0%,33.9,49.5%,9.9%
06067005605,0.7712082262210798,3,06067, Sacramento County,CA,5605,56.05,3890,13.1%,29.7,27.7%,14.5%
06067009639,0.7708119218910585,3,06067, Sacramento County,CA,9639,96.39,3892,17.9%,39.1,13.2%,20.1%
06067003502,0.7581501137225171,2,06067, Sacramento County,CA,3502,35.02,2638,22.5%,43.1,28.0%,4.8%
06067008907,0.7328691828508611,4,06067, Sacramento County,CA,8907,89.07,5458,16.3%,35.4,22.9%,6.1%
06067007501,0.7282260413632391,5,06067, Sacramento County,CA,7501,75.01,6866,15.5%,33,20.9%,12.2%
06067006400,0.7245064299945662,4,06067, Sacramento County,CA,6400,64,5521,11.5%,33.7,53.0%,8.9%
06067008801,0.7218479307025986,3,06067, Sacramento County,CA,8801,88.01,4156,14.7%,36.4,14.6%,8.7%
06067005903,0.7049700387733521,2,06067, Sacramento County,CA,5903,59.03,2837,13.3%,30.9,8.0%,15.4%
06067008705,0.7032348804500703,6,06067, Sacramento County,CA,8705,87.05,8532,10.3%,34.7,13.1%,6.2%
06067009319,0.7015902712815715,3,06067, Sacramento County,CA,9319,93.19,4276,13.6%,34.8,21.2%,6.0%
06067007020,0.6918819188191881,3,06067, Sacramento County,CA,7020,70.2,4336,16.3%,34.2,23.0%,8.8%
06067005606,0.681044267877412,3,06067, Sacramento County,CA,5606,56.06,4405,20.8%,37.2,19.8%,2.7%
06067006201,0.6794401413235495,5,06067, Sacramento County,CA,6201,62.01,7359,17.3%,32.5,29.0%,12.3%
06067009331,0.6626905235255136,5,06067, Sacramento County,CA,9331,93.31,7545,11.4%,36.7,12.4%,10.7%
06067009800,0.6605019815059445,1,06067, Sacramento County,CA,9800,98,1514,34.3%,51,19.2%,0.6%
06067009322,0.6450688073394496,9,06067, Sacramento County,CA,9322,93.22,13952,12.1%,36,15.2%,11.7%
06067006701,0.6417798695047598,6,06067, Sacramento County,CA,6701,67.01,9349,13.2%,32.3,41.0%,13.5%
06067007207,0.6204756980351602,3,06067, Sacramento County,CA,7207,72.07,4835,13.1%,36.1,22.3%,0.5%
06067009635,0.609942055504727,4,06067, Sacramento County,CA,9635,96.35,6558,8.2%,32.2,17.6%,9.6%
06067008509,0.6048387096774194,3,06067, Sacramento County,CA,8509,85.09,4960,13.0%,40,7.3%,0.2%
